Meter,Day,Hr,Usage
7428,195,23,0.431
7428,196,23,0.2
7428,197,23,0.222
7428,198,23,0.252
7428,199,23,0.404
7428,200,23,0.254
7428,201,23,0.42200000000000004
7428,202,23,0.235
7428,203,23,0.247
7428,204,23,0.45299999999999996
7428,205,23,0.219
7428,206,23,0.161
7428,207,23,0.23099999999999998
7428,208,23,0.22599999999999998
7428,209,23,0.252
7428,210,23,0.251
7428,211,23,0.28099999999999997
7428,212,23,0.353
7428,213,23,0.22799999999999998
7428,214,23,0.272
7428,215,23,0.20500000000000002
7428,216,23,0.236
7428,217,23,0.20099999999999998
7428,218,23,0.731
7428,219,23,0.221
7428,220,23,0.296
7428,221,23,0.187
7428,222,23,0.138
7428,223,23,0.892
7428,224,23,0.14
7428,225,23,0.41800000000000004
7428,226,23,0.188
7428,227,23,0.664
7428,228,23,0.143
7428,229,23,0.164
7428,230,23,0.217
7428,231,23,0.23099999999999998
7428,232,23,0.23199999999999998
7428,233,23,0.32
7428,234,23,0.251
7428,235,23,0.147
7428,236,23,0.189
7428,237,23,0.246
7428,238,23,0.184
7428,239,23,0.16999999999999998
7428,240,23,0.166
7428,241,23,0.266
7428,242,23,0.253
7428,243,23,0.239
7428,244,23,0.163
7428,245,23,0.619
7428,246,23,0.192
7428,247,23,0.155
7428,248,23,1.023
7428,249,23,0.159
7428,250,23,0.19
7428,251,23,0.149
7428,252,23,0.14200000000000002
7428,253,23,0.362
7428,254,23,0.231
7428,255,23,0.25
7428,256,23,0.16199999999999998
7428,257,23,0.278
7428,258,23,0.24
7428,259,23,0.152
7428,260,23,0.249
7428,261,23,0.24
7428,262,23,1.8900000000000001
7428,263,23,0.256
7428,264,23,0.14300000000000002
7428,265,23,0.249
7428,266,23,0.22599999999999998
7428,267,23,0.482
7428,268,23,0.312
7428,269,23,1.6219999999999999
7428,270,23,0.211
7428,271,23,0.201
7428,272,23,0.184
7428,273,23,0.15000000000000002
7428,274,23,0.26
7428,275,23,0.435
7428,276,23,2.042
7428,277,23,0.26
7428,278,23,0.244
7428,279,23,0.169
7428,280,23,0.299
7428,281,23,0.236
7428,282,23,0.189
7428,283,23,0.365
7428,284,23,0.392
7428,285,23,0.20500000000000002
7428,286,23,0.239
7428,287,23,0.29100000000000004
7428,288,23,0.376
7428,289,23,0.521
7428,290,23,0.213
7428,291,23,0.287
7428,292,23,0.21799999999999997
7428,293,23,0.177
7428,294,23,0.275
7428,295,23,0.193
7428,296,23,0.189
7428,297,23,0.264
7428,298,23,0.14600000000000002
7428,299,23,0.308
7428,300,23,0.46399999999999997
7428,301,23,0.179
7428,302,23,0.724
7428,303,23,0.126
7428,304,23,0.165
7428,305,23,0.132
7428,306,23,0.186
7428,307,23,0.19
7428,308,23,0.131
7428,309,23,0.135
7428,310,23,0.175
7428,311,23,0.6020000000000001
7428,312,23,0.239
7428,313,23,0.131
7428,314,23,0.347
7428,315,23,0.177
7428,316,23,0.11499999999999999
7428,317,23,0.20700000000000002
7428,318,23,0.195
7428,319,23,0.337
7428,320,23,0.218
7428,321,23,0.16899999999999998
7428,322,23,0.177
7428,323,23,0.271
7428,324,23,0.272
7428,325,23,0.196
7428,326,23,0.155
7428,327,23,0.191
7428,328,23,0.135
7428,329,23,4.186999999999999
7428,330,23,0.174
7428,331,23,0.245
7428,332,23,0.236
7428,333,23,0.27799999999999997
7428,334,23,0.28900000000000003
7428,335,23,0.11699999999999999
7428,336,23,0.363
7428,337,23,0.41400000000000003
7428,338,23,0.178
7428,339,23,0.202
7428,340,23,0.227
7428,341,23,0.313
7428,342,23,0.214
7428,343,23,0.104
7428,344,23,0.617
7428,345,23,0.369
7428,346,23,0.46499999999999997
7428,347,23,0.777
7428,348,23,0.101
7428,349,23,0.244
7428,350,23,0.195
7428,351,23,0.392
7428,352,23,0.241
7428,353,23,0.34299999999999997
7428,354,23,0.317
7428,355,23,0.3
7428,356,23,0.474
7428,357,23,0.508
7428,358,23,0.352
7428,359,23,0.34299999999999997
7428,360,23,0.329
7428,361,23,1.038
7428,362,23,0.523
7428,363,23,1.171
7428,364,23,0.817
7428,365,23,0.628
7428,366,23,0.367
7428,367,23,0.28900000000000003
7428,368,23,0.255
7428,369,23,0.448
7428,370,23,0.964
7428,371,23,0.522
7428,372,23,0.26
7428,373,23,0.266
7428,374,23,0.255
7428,375,23,0.77
7428,376,23,0.23199999999999998
7428,377,23,0.577
7428,378,23,0.223
7428,379,23,0.179
7428,380,23,0.45899999999999996
7428,381,23,0.9750000000000001
7428,382,23,0.6000000000000001
7428,383,23,0.14400000000000002
7428,384,23,0.20900000000000002
7428,385,23,0.21300000000000002
7428,386,23,0.211
7428,387,23,0.175
7428,388,23,0.245
7428,389,23,0.20500000000000002
7428,390,23,0.203
7428,391,23,0.27
7428,392,23,0.251
7428,393,23,0.302
7428,394,23,0.247
7428,395,23,3.965
7428,396,23,0.129
7428,397,23,0.15
7428,398,23,0.122
7428,399,23,0.15899999999999997
7428,400,23,1.5230000000000001
7428,401,23,0.16999999999999998
7428,402,23,1.1179999999999999
7428,403,23,0.17099999999999999
7428,404,23,0.126
7428,405,23,0.153
7428,406,23,0.154
7428,407,23,1.355
7428,408,23,0.57
7428,409,23,0.754
7428,410,23,0.755
7428,411,23,0.394
7428,412,23,0.445
7428,413,23,0.867
7428,414,23,0.21200000000000002
7428,415,23,0.155
7428,416,23,0.675
7428,417,23,0.143
7428,418,23,0.127
7428,419,23,0.15
7428,420,23,0.101
7428,421,23,0.161
7428,422,23,0.6
7428,423,23,0.276
7428,424,23,0.382
7428,425,23,0.173
7428,426,23,0.2
7428,427,23,0.191
7428,428,23,0.182
7428,429,23,0.532
7428,430,23,0.207
7428,431,23,0.404
7428,432,23,0.197
7428,433,23,0.16999999999999998
7428,434,23,0.21500000000000002
7428,435,23,0.20900000000000002
7428,436,23,0.203
7428,437,23,0.253
7428,438,23,0.198
7428,439,23,0.135
7428,440,23,0.19
7428,441,23,0.209
7428,442,23,0.23299999999999998
7428,443,23,0.377
7428,444,23,1.528
7428,445,23,0.151
7428,446,23,0.209
7428,447,23,0.21100000000000002
7428,448,23,0.153
7428,449,23,0.14200000000000002
7428,450,23,0.219
7428,451,23,0.159
7428,452,23,0.237
7428,453,23,0.198
7428,454,23,0.173
7428,455,23,0.201
7428,456,23,0.21399999999999997
7428,457,23,0.197
7428,458,23,0.197
7428,459,23,0.192
7428,460,23,0.184
7428,461,23,0.18
7428,462,23,0.202
7428,463,23,0.642
7428,464,23,0.537
7428,465,23,0.22299999999999998
7428,466,23,0.189
7428,467,23,0.213
7428,468,23,0.21900000000000003
7428,469,23,0.20900000000000002
7428,470,23,0.121
7428,471,23,0.394
7428,472,23,0.237
7428,473,23,0.28300000000000003
7428,474,23,0.189
7428,475,23,0.133
7428,476,23,0.14100000000000001
7428,477,23,0.18
7428,478,23,0.209
7428,479,23,0.214
7428,480,23,0.20400000000000001
7428,481,23,0.215
7428,482,23,0.163
7428,483,23,0.142
7428,484,23,0.173
7428,485,23,0.354
7428,486,23,0.188
7428,487,23,0.199
7428,488,23,0.189
7428,489,23,0.175
7428,490,23,0.197
7428,491,23,0.212
7428,492,23,0.425
7428,493,23,0.16
7428,494,23,0.299
7428,495,23,0.213
7428,496,23,0.175
7428,497,23,0.412
7428,498,23,0.5900000000000001
7428,499,23,0.509
7428,500,23,0.29100000000000004
7428,501,23,0.6699999999999999
7428,502,23,0.221
7428,503,23,0.182
7428,504,23,0.20099999999999998
7428,505,23,0.16699999999999998
7428,506,23,0.399
7428,507,23,0.847
7428,508,23,0.47100000000000003
7428,509,23,0.16999999999999998
7428,510,23,0.177
7428,511,23,0.23399999999999999
7428,512,23,0.276
7428,513,23,0.435
7428,514,23,0.275
7428,515,23,0.225
7428,516,23,0.208
7428,517,23,0.722
7428,518,23,0.348
7428,519,23,0.264
7428,520,23,0.856
7428,521,23,0.501
7428,522,23,0.277
7428,523,23,0.35
7428,524,23,0.315
7428,525,23,0.238
7428,526,23,0.277
7428,527,23,0.322
7428,528,23,1.275
7428,529,23,0.277
7428,530,23,0.193
7428,531,23,0.274
7428,532,23,0.21300000000000002
7428,533,23,0.409
7428,534,23,0.5880000000000001
7428,535,23,0.23
7428,536,23,0.199
7428,537,23,0.244
7428,538,23,0.23
7428,539,23,0.204
7428,540,23,0.328
7428,541,23,0.155
7428,542,23,0.8819999999999999
7428,543,23,0.138
7428,544,23,0.164
7428,545,23,0.21
7428,546,23,0.247
7428,547,23,0.181
7428,548,23,0.20800000000000002
7428,549,23,0.40900000000000003
7428,550,23,0.636
7428,551,23,0.23299999999999998
7428,552,23,0.203
7428,553,23,0.933
7428,554,23,0.657
7428,555,23,0.511
7428,556,23,0.736
7428,557,23,0.664
7428,558,23,1.5150000000000001
7428,559,23,0.929
7428,560,23,0.552
7428,561,23,0.226
7428,562,23,0.667
7428,563,23,0.222
7428,564,23,0.937
7428,565,23,1.134
7428,566,23,0.47000000000000003
7428,567,23,0.27
7428,568,23,0.44200000000000006
7428,569,23,0.215
7428,570,23,0.195
7428,571,23,1.402
7428,572,23,0.2
7428,573,23,0.209
7428,574,23,0.209
7428,575,23,0.21400000000000002
7428,576,23,0.221
7428,577,23,0.202
7428,578,23,0.383
7428,579,23,0.196
7428,580,23,0.4
7428,581,23,0.203
7428,582,23,0.24000000000000002
7428,583,23,1.0070000000000001
7428,584,23,0.212
7428,585,23,0.204
7428,586,23,0.199
7428,587,23,0.201
7428,588,23,0.22999999999999998
7428,589,23,0.211
7428,590,23,0.443
7428,591,23,0.213
7428,592,23,0.218
7428,593,23,0.20600000000000002
7428,594,23,0.187
7428,595,23,0.201
7428,596,23,0.20600000000000002
7428,597,23,0.269
7428,598,23,0.20700000000000002
7428,599,23,0.535
7428,600,23,0.239
7428,601,23,0.198
7428,602,23,0.20900000000000002
7428,603,23,0.196
7428,604,23,0.71
7428,605,23,0.21500000000000002
7428,606,23,1.0
7428,607,23,0.251
7428,608,23,0.997
7428,609,23,0.421
7428,610,23,0.29800000000000004
7428,611,23,1.285
7428,612,23,0.778
7428,613,23,1.149
7428,614,23,0.22899999999999998
7428,615,23,0.439
7428,616,23,0.492
7428,617,23,0.41500000000000004
7428,618,23,0.553
7428,619,23,0.475
7428,620,23,0.40700000000000003
7428,621,23,0.199
7428,622,23,0.222
7428,623,23,0.568
7428,624,23,0.225
7428,625,23,0.195
7428,626,23,0.503
7428,627,23,0.397
7428,628,23,0.21300000000000002
7428,629,23,0.225
7428,630,23,0.214
7428,631,23,0.433
7428,632,23,0.273
7428,633,23,0.399
7428,634,23,0.21400000000000002
7428,635,23,0.64
7428,636,23,0.217
7428,637,23,0.183
7428,638,23,0.222
7428,639,23,0.203
7428,640,23,0.262
7428,641,23,0.661
7428,642,23,0.22699999999999998
7428,643,23,0.215
7428,644,23,0.238
7428,645,23,0.201
7428,646,23,0.199
7428,647,23,0.643
7428,648,23,0.912
7428,649,23,0.214
7428,650,23,0.25
7428,651,23,0.538
7428,652,23,0.22699999999999998
7428,653,23,0.196
7428,654,23,0.262
7428,655,23,0.42400000000000004
7428,656,23,0.198
7428,657,23,0.214
7428,658,23,0.207
7428,659,23,0.194
7428,660,23,0.7929999999999999
7428,661,23,0.474
7428,662,23,0.183
7428,663,23,0.8380000000000001
7428,664,23,0.393
7428,665,23,0.644
7428,666,23,0.215
7428,667,23,0.39
7428,668,23,0.5700000000000001
7428,669,23,0.181
7428,670,23,0.531
7428,671,23,0.23399999999999999
7428,672,23,0.375
7428,673,23,0.44500000000000006
7428,674,23,0.20700000000000002
7428,675,23,0.522
7428,676,23,0.774
7428,677,23,0.611
7428,678,23,0.18
7428,679,23,0.288
7428,680,23,0.474
7428,681,23,0.312
7428,682,23,0.403
7428,683,23,0.172
7428,684,23,0.309
7428,685,23,0.523
7428,686,23,0.207
7428,687,23,0.21700000000000003
7428,688,23,0.645
7428,689,23,0.238
7428,690,23,0.402
7428,691,23,0.20800000000000002
7428,692,23,0.21500000000000002
7428,693,23,0.194
7428,694,23,0.23
7428,695,23,0.44200000000000006
7428,696,23,0.391
7428,697,23,0.191
7428,698,23,0.169
7428,699,23,0.218
7428,700,23,0.254
7428,701,23,0.189
7428,702,23,0.17099999999999999
7428,703,23,0.771
7428,704,23,0.547
7428,705,23,0.185
7428,706,23,0.157
7428,707,23,1.0150000000000001
7428,708,23,0.152
7428,709,23,0.174
7428,710,23,0.489
7428,711,23,0.378
7428,712,23,0.177
7428,713,23,0.186
7428,714,23,0.404
7428,715,23,0.24
7428,716,23,0.237
7428,717,23,1.385
7428,718,23,0.512
7428,719,23,0.552
7428,720,23,0.268
7428,721,23,0.875
7428,722,23,0.722
7428,723,23,0.182
7428,724,23,0.22699999999999998
7428,725,23,0.238
7428,726,23,0.99
7428,727,23,0.35
7428,728,23,1.436
7428,729,23,0.755
7428,730,23,0.249
7431,195,23,0.23500000000000001
7431,196,23,0.242
7431,197,23,0.24
7431,198,23,0.245
7431,199,23,0.23500000000000001
7431,200,23,0.20700000000000002
7431,201,23,0.152
7431,202,23,0.088
7431,203,23,0.104
7431,204,23,0.172
7431,205,23,0.173
7431,206,23,0.156
7431,207,23,0.089
7431,208,23,0.106
7431,209,23,0.094
7431,210,23,0.093
7431,211,23,0.11699999999999999
7431,212,23,0.497
7431,213,23,0.172
7431,214,23,0.14200000000000002
7431,215,23,0.154
7431,216,23,0.19
7431,217,23,0.177
7431,218,23,0.2
7431,219,23,0.24
7431,220,23,0.218
7431,221,23,0.158
7431,222,23,0.095
7431,223,23,0.087
7431,224,23,0.179
7431,225,23,0.224
7431,226,23,0.239
7431,227,23,0.231
7431,228,23,0.198
7431,229,23,0.158
7431,230,23,0.154
7431,231,23,0.16
7431,232,23,0.129
7431,233,23,0.121
7431,234,23,0.14
7431,235,23,0.104
7431,236,23,0.16899999999999998
7431,237,23,0.253
7431,238,23,0.11
7431,239,23,0.488
7431,240,23,0.149
7431,241,23,0.173
7431,242,23,0.146
7431,243,23,0.183
7431,244,23,0.246
7431,245,23,0.124
7431,246,23,0.233
7431,247,23,0.232
7431,248,23,0.124
7431,249,23,0.111
7431,250,23,0.119
7431,251,23,0.21100000000000002
7431,252,23,0.16499999999999998
7431,253,23,0.525
7431,254,23,0.112
7431,255,23,0.229
7431,256,23,0.102
7431,257,23,0.226
7431,258,23,0.101
7431,259,23,0.161
7431,260,23,0.155
7431,261,23,0.088
7431,262,23,0.21100000000000002
7431,263,23,0.104
7431,264,23,0.21800000000000003
7431,265,23,0.127
7431,266,23,0.22899999999999998
7431,267,23,0.226
7431,268,23,0.20600000000000002
7431,269,23,0.159
7431,270,23,0.22599999999999998
7431,271,23,0.088
7431,272,23,0.203
7431,273,23,0.19
7431,274,23,0.1
7431,275,23,0.123
7431,276,23,0.13
7431,277,23,0.23099999999999998
7431,278,23,0.22999999999999998
7431,279,23,0.151
7431,280,23,0.159
7431,281,23,0.194
7431,282,23,0.094
7431,283,23,0.088
7431,284,23,0.089
7431,285,23,0.128
7431,286,23,0.14
7431,287,23,0.088
7431,288,23,0.099
7431,289,23,0.092
7431,290,23,0.145
7431,291,23,0.6579999999999999
7431,292,23,0.23099999999999998
7431,293,23,0.088
7431,294,23,0.087
7431,295,23,0.102
7431,296,23,0.086
7431,297,23,0.30200000000000005
7431,298,23,0.131
7431,299,23,0.22799999999999998
7431,300,23,0.088
7431,301,23,0.087
7431,302,23,0.16399999999999998
7431,303,23,0.23199999999999998
7431,304,23,0.098
7431,305,23,0.227
7431,306,23,0.22799999999999998
7431,307,23,0.088
7431,308,23,0.157
7431,309,23,0.11
7431,310,23,0.235
7431,311,23,0.086
7431,312,23,0.194
7431,313,23,0.131
7431,314,23,0.095
7431,315,23,0.078
7431,316,23,0.131
7431,317,23,0.135
7431,318,23,0.185
7431,319,23,0.077
7431,320,23,0.206
7431,321,23,0.144
7431,322,23,0.221
7431,323,23,0.22299999999999998
7431,324,23,0.11699999999999999
7431,325,23,0.182
7431,326,23,0.17200000000000001
7431,327,23,0.22099999999999997
7431,328,23,0.22000000000000003
7431,329,23,0.088
7431,330,23,0.241
7431,331,23,0.098
7431,332,23,0.172
7431,333,23,0.198
7431,334,23,0.139
7431,335,23,0.3
7431,336,23,0.087
7431,337,23,0.087
7431,338,23,0.086
7431,339,23,0.217
7431,340,23,0.228
7431,341,23,0.158
7431,342,23,0.28
7431,343,23,0.247
7431,344,23,0.223
7431,345,23,0.087
7431,346,23,0.108
7431,347,23,0.236
7431,348,23,0.153
7431,349,23,0.086
7431,350,23,0.092
7431,351,23,0.087
7431,352,23,0.126
7431,353,23,0.086
7431,354,23,0.087
7431,355,23,0.104
7431,356,23,0.368
7431,357,23,0.236
7431,358,23,0.134
7431,359,23,0.086
7431,360,23,0.086
7431,361,23,0.23199999999999998
7431,362,23,0.22499999999999998
7431,363,23,0.086
7431,364,23,1.167
7431,365,23,0.038
7431,366,23,0.192
7431,367,23,0.201
7431,368,23,0.169
7431,369,23,0.034
7431,370,23,0.13999999999999999
7431,371,23,0.036
7431,372,23,0.166
7431,373,23,0.156
7431,374,23,0.124
7431,375,23,0.163
7431,376,23,0.197
